X,Y,PROFONDEUR
2499236.85,1119172.84,150
2499241.77,1119168.44,150
2499246.38,1119164.09,150
2499250.99,1119160.08,150
2499249.91,1119153.97,150
2499245.3,1119157.86,150
2499240.81,1119161.64,150
2499236.37,1119165.71,150
2499231.81,1119169.59,150
2504301.43,1120922.19,200
2504294.84,1120927,200
2500759.38,1123900.13,137
2504467.81,1123425.11,80
2505370.24,1116829.15,130
2505370.44,1116821.18,130
2505370.44,1116813.15,130
2497781.19,1116799.93,200
2497772.8,1116796.83,200
2497755.9,1116790.83,200
2497747.51,1116787.8,200
2497750.54,1116777.41,200
2497759.38,1116781.54,200
2497753.51,1116767.61,200
2497762.87,1116772.12,200
2497771.26,1116775.22,200
2497767.77,1116784.51,200
2497776.29,1116787.54,200
2497779.58,1116778.32,200
2497784.61,1116790.7,200
2497788.16,1116781.35,200
2497793.06,1116793.73,200
2497801.51,1116796.7,200
2497805.57,1116785.86,200
2506853.43,1122936.32,150
2503261.21,1115419.68,130
2503258.73,1115414.19,130
2504433.44,1117901.3,110
2500108.62,1118105.74,226
2500113.67,1118112.81,226
2500102.84,1118111.35,226
2500107.81,1118117.84,226
2500118.85,1118118.11,226
2500113.12,1118123.89,226
2503257.37,1118303.33,220
2503261.22,1118307.93,220
2503253.22,1118298.37,220
2503259.57,1118296.62,220
2503263.42,1118301.22,220
2499068.77,1125306.14,130
2499061.84,1125311.41,130
2500640.75,1123863.45,160
2504813.48,1121943.7,160
2504808.74,1121930.63,160
2504826.65,1121920.75,160
2504823.27,1121914.65,160
2504831.4,1121906.22,160
2505700.43,1124148.22,160
2504694.73,1121782.42,140
2504710.24,1121773.15,140
2490457.53,1118670.28,175
2490460.59,1118677.05,175
2504824.4,1122475.24,54
2508899.43,1119300.08,100
2503074.42,1115290.25,122
2504320.4,1117269.21,188
2506687.89,1126593.07,133
2501995.72,1126504.58,60
2502969.35,1130880.64,160
2497929.36,1126060.2,105
2499739.76,1122601.61,138
2508524.68,1122901.27,150
2504634.33,1121998.85,125
2501054.59,1127192.21,130
2503759.41,1118303.17,50
2493240.2,1113410.04,85
2493245.6,1113415.14,85
2504863.03,1124422.39,200
2504867.28,1124429.89,200
2504875.73,1124432.39,200
2503261.11,1120142.49,280
2503264.68,1120135.2,280
2503262.79,1120127.33,280
2499655.26,1126023.58,120
2495068.99,1119728.05,220
2495077.21,1119729.41,220
2495076.5,1119720.81,220
2495085.28,1119722.79,220
2495083.19,1119714.07,220
2495089.57,1119707.51,220
2495099.7,1119717.25,220
2495091.46,1119715.95,220
2495073.07,1119707.75,220
2495066.4,1119700.47,220
2495059.21,1119693.49,220
2495051.73,1119685.98,220
2495054.44,1119676.33,220
2495061.82,1119683.72,220
2495068.91,1119690.75,220
2495079.47,1119694.33,220
2505025.21,1124491.95,
2505033.27,1124491.81,
2505041.37,1124491.22,
2504715.74,1121344.1,140
2504713.13,1121347.62,140
2497042.51,1115576.32,160
2497059.94,1115585.4,160
2497071.59,1115591.41,160
2504313.4,1119566,140
2504307.81,1119560.6,140
2502227.66,1113725.39,15
2501178.29,1126495.3,130
2498263.46,1116756.91,137
2498261.09,1116750.97,137
2498258.68,1116744.21,90
2505594.95,1122766.44,165
2499889.84,1115739.23,
2499895.68,1115738.03,
2499888.05,1115730.93,
2499895.07,1115729.69,
2502683.61,1113040.23,
2502678.93,1113036.48,
2497718.27,1115178.12,160
2495805.32,1119451.56,
2495812.27,1119458.76,
2495819.23,1119465.95,
2495826.17,1119473.14,
2495833.12,1119480.33,
2495840.07,1119487.52,
2495847.02,1119494.71,
2495853.97,1119501.9,
2495860.92,1119509.09,
2495842.15,1119503.59,
2495849.1,1119510.78,
2495834.96,1119510.54,
2495841.91,1119517.73,
2495827.77,1119517.49,
2495834.72,1119524.68,
2495820.47,1119524.04,
2495827.43,1119531.24,
2495819.24,1119536.82,
2495813.65,1119528.54,
2495813.52,1119516.85,
2493265.99,1113401.36,180
2503595.27,1117380.89,135
2503594.21,1117375.59,135
2501200.62,1125716.47,136
2501206,1125712.06,136
2503028.6,1117175.3,173
2503034.42,1117174.32,173
2503040.31,1117173.27,173
2503046.2,1117172.28,173
2503052.16,1117171.37,173
2503057.98,1117170.39,173
2503063.87,1117169.41,173
2503069.84,1117168.43,173
2503066.19,1117163.66,173
2503065.21,1117157.7,173
2503063.52,1117151.88,173
2503062.4,1117146.06,173
2503061.42,1117140.24,173
2503055.53,1117141.15,173
2503049.64,1117142.2,173
2503043.75,1117143.25,173
2504676.71,1133760.95,145
2504875.08,1121634.32,105
2504878.49,1121638.13,105
2494735.24,1120149.26,
2500730.05,1122908.36,150
2500722.38,1122902.94,150
2501458.61,1126438.27,150
2504169.65,1115577.87,95
2504323.48,1117252.31,180
2505853.44,1117317.68,105
2493134.96,1113499.55,140
2502271.26,1113884.93,30
2502276.97,1113886.14,30
2502273.09,1113890.58,30
2502278.86,1113892.3,30
2502275.04,1113896.27,30
2502280.53,1113897.61,30
2506283.35,1125870.03,220
2499061.26,1121436.88,145
2505339.32,1116641.57,90
2505329.62,1116668.06,90
2502628.52,1116996.11,
2498672.81,1121659.45,
2499688.85,1122799.5,14
2505563.36,1124703.04,32
2505557.87,1124705.96,32
2508605.54,1122960.93,120
2508629.21,1122976.14,120
2508625,1122969.71,120
2508593.35,1122943.77,110
2488606.42,1117033.29,220
2503980.07,1120274.21,132
2503983.62,1120277.5,132
2503995.01,1120271.86,132
2503991.29,1120275.97,132
2503987.24,1120280.9,132
2497770.97,1125903.09,
2497773.51,1125906.1,
2509304.02,1121027.69,
2509309.02,1121025.69,
2506280.75,1125863.08,220
2503695.49,1118161.65,125
2503690.96,1118165.91,125
2503686.5,1118170.27,125
2503681.59,1118174.93,125
2509598.61,1121221.47,125
2509092.46,1119292.27,100
2509601.36,1121226.54,125
2505688.29,1117035.58,95
2505414.03,1116948.83,105
2505681.5,1117040.53,95
2507890.61,1127999.37,85
2505419.94,1116948.52,105
2507890.13,1127997.92,85
2504120.59,1121900.66,160
2504119.73,1121894.87,160
2504120.57,1121888.5,160
2504119.3,1121882.73,160
2504119.38,1121876.11,160
2504128.19,1121902.33,160
2504127.98,1121896.14,160
2504127.84,1121890.92,160
2504127.53,1121885.09,160
2504126.89,1121879.31,160
2504127.59,1121873.22,160
2502545.55,1118505.02,150
2502545.05,1118498,150
2502543.88,1118491.87,150
2498910.72,1125201.17,100
2505226.81,1120205.86,104
2505231.66,1120207.57,104
2505233.92,1120204.08,104
2505230.48,1120201.49,104
2496126.27,1119628.19,144
2496486.97,1116959.5,
2496491.3,1116956.66,
2490607.25,1114445.53,95
2490605.53,1114443.68,95
2508100.11,1117985.12,280
2508104.85,1118012.43,135
2508105.49,1117981.93,280
2508101.72,1117977.28,280
2508096.19,1117980.86,280
2498866.89,1125206.65,120
2508099.92,1118007.38,135
2496290.99,1115033.89,70
2496292.66,1115033.12,70
2505205.25,1116704.12,95
2505207.2,1116704.12,95
2503894.49,1115454.69,100
