,X,Y,PROFONDEUR,lon,lat
1580,2504162.92,1120657.82,,6.196337545976037,46.230519120412715
1581,2504158.28,1120662.06,,6.19627653753647,46.23055659512113
1582,2504171.12,1120648.82,,6.196445672111675,46.23043933972743
1583,2504153.52,1120667.35,,6.1962137579058645,46.230603496880455
1584,2504166.89,1120653.45,,6.196389897495373,46.23048038082237
1585,2495957.08,1114993.87,,6.09125031592028,46.178355460749444
1586,2507216.68,1126826.18,150.0,6.234687481869332,46.28642945301619
1587,2507221.47,1126832.61,150.0,6.234748345070824,46.286487950226544
1588,2507226.26,1126839.03,150.0,6.234809210397164,46.286546357458654
1589,2507231.05,1126845.45,150.0,6.234870075854317,46.28660476465804
1590,2495136.01,1115458.97,,6.080514852782608,46.18241116113158
1591,2495128.16,1115468.83,,6.080410991242013,46.182498620228934
1592,2495139.66,1115454.38,,6.0805631461930405,46.18237044670936
1593,2495143.49,1115449.57,,6.080613819691888,46.182327781599355
1594,2495131.82,1115464.23,,6.080459416540506,46.18245781746784
1595,2506292.06,1119579.61,,6.224149161837812,46.22112147000278
1596,2505840.88,1124043.34,,6.217400829628541,46.2612075132793
1597,2505846.13,1124040.45,,6.217469495387698,46.261182255265346
1598,2505851.37,1124037.46,,6.2175380516190515,46.26115609635484
1599,2509456.64,1121083.12,,6.264865341311979,46.235078805618194
1600,2509461.33,1121096.29,,6.264923574270284,46.235197896620036
1601,2509458.82,1121089.61,,6.2648923375116,46.23513747439724
1602,2497518.05,1120026.98,,6.110356600666232,46.22386447368369
1603,2497522.62,1120021.62,,6.110416999720256,46.22381696108889
1604,2497527.26,1120016.29,,6.110478299186714,46.2237697289659
1605,2497534.91,1120018.12,,6.110577031222846,46.22378735509468
1606,2497530.34,1120023.49,,6.110516630144408,46.223834957718154
1607,2497525.74,1120028.79,,6.110455855578229,46.2238819261324
1608,2497521.06,1120034.19,,6.110394022235852,46.2239297817455
1609,2497539.07,1120026.22,,6.110629160016812,46.223860843373444
1610,2497534.5,1120031.59,,6.1105687589024384,46.22390844602496
1611,2497529.86,1120036.92,,6.1105074593582795,46.22395567819735
1612,2497541.04,1120032.57,,6.110653293745592,46.22391825766106
1613,2497536.47,1120037.87,,6.110592907966833,46.22396523072339
1614,2497543.36,1120039.08,,6.110681927940406,46.22397716439891
1615,2497538.72,1120044.45,,6.110620619629728,46.224024756405505
1616,2498703.46,1115907.1,,6.1266122400504806,46.18698861567812
1617,2498716.42,1115907.49,,6.126779987392934,46.18699407567931
1618,2498726.44,1115907.86,,6.126909666115165,46.18699891276015
1619,2504134.9,1116860.42,,6.196754655306165,46.196359514510455
1620,2501496.14,1126423.51,,6.160555706093754,46.28199249006866
1621,2502830.0,1117929.0,,6.1796306651753765,46.20578345047887
1622,2502823.0,1117795.0,,6.1795678843900825,46.20457718378952
1623,2494299.02,1114072.14,,6.069990622188841,46.16980667966593
1624,2494316.95,1114047.88,,6.070228225610138,46.16959129731908
1625,2505740.76,1117322.81,,6.217461129080072,46.200745557077056
1626,2505743.14,1117315.39,,6.217493456781185,46.200679151576395
1627,2497169.06,1118505.6,150.0,6.106169481817251,46.21012740352146
1628,2497145.12,1118470.09,150.0,6.10586715547095,46.20980435290006
1629,2506116.35,1124636.96,,6.220853427003317,46.26658542012464
1630,2506124.53,1124635.1,,6.220959890032312,46.26656983405242
1631,2506113.13,1124630.19,,6.220813031203465,46.266524076866396
1632,2506120.64,1124627.42,,6.220910988239267,46.26650021212437
1633,2506109.29,1124623.02,,6.2207646752640136,46.266459049079394
1634,2506116.97,1124619.52,,6.220864984143103,46.26642864214019
1635,2506113.35,1124611.67,,6.220819618543968,46.26635752885584
1636,2506105.17,1124615.29,,6.220712800997885,46.266388945175756
1637,2491698.22,1112509.17,170.0,6.0366836675024445,46.15533539657151
1638,2498938.66,1125351.92,,6.127611117644209,46.2719740479477
1639,2503077.66,1117836.58,,6.182858198580841,46.204987940259336
1640,2503085.32,1117830.74,,6.182958642198318,46.2049365171596
1641,2503095.52,1117823.6,,6.183092259731104,46.204873767373265
1642,2503082.59,1117822.08,,6.182925075001352,46.204858231658115
1643,2503075.35,1117827.96,,6.182830064040429,46.204910075067005
1644,2503074.22,1117818.82,,6.182817323752285,46.20482770290837
1645,2503089.4,1117816.7,,6.183014411573306,46.204810823397594
1646,2503083.11,1117810.39,,6.182934238833617,46.20475316157965
1647,2503124.13,1117710.14,300.0,6.18348643589575,46.20385738155173
1648,2503114.68,1117714.63,300.0,6.18336308704369,46.20389640462256
1649,2503108.36,1117717.68,300.0,6.183280583529953,46.20392292673068
